名稱,縣市,斷層,土壤液化有無(1/0),是否為順向坡(1/0),地層下陷有無(1/0),建材,樓層高度,樓型,震度,破壞致無法居住(1/0)
天王星大樓,花蓮市,1,1,0,0,鋼筋混擬土,13,N/A,5,1
花蓮女中綜合大樓,花蓮市,1,1,0,0,鋼筋混擬土,8,N/A,5,1
吉安鄉山海關大樓,吉安鄉,1,1,0,0,鋼筋混擬土,12,N/A,6,1
統帥大樓,花蓮市,1,1,0,0,鋼筋混擬土,10,N/A,5,1
馥邑京華,花蓮市,1,1,0,0,鋼筋混擬土,15,N/A,6,1
中山路鋼管紅茶,花蓮市,0,0,0,0,鋼筋混擬土,4,N/A,5,1
翰品酒店,花蓮市,1,1,0,0,鋼筋混擬土,10,N/A,6,1
國軍英雄館,花蓮市,1,0,0,0,鋼筋混擬土,6,N/A,6,1
北濱街16號,花蓮市,1,1,0,0,N/A,N/A,N/A,5,1
北濱街20號,花蓮市,1,1,0,0,N/A,N/A,N/A,5,1
北濱街22號,花蓮市,1,1,0,0,N/A,N/A,N/A,5,1
北濱街24號,花蓮市,1,1,0,0,N/A,N/A,N/A,5,1
信義街民宅,花蓮市,0,0,0,0,N/A,N/A,N/A,5,1
北濱街花一邸,花蓮市,1,1,0,0,N/A,N/A,N/A,5,1
榮正街公寓大樓,花蓮市,0,1,0,0,鋼筋混擬土,N/A,N/A,6,1
中山路3戶連棟民宅,花蓮市,0,0,0,0,鋼筋混擬土,N/A,N/A,5,1
樹人街鐵皮屋,花蓮市,1,1,0,0,鐵皮,1,N/A,5,1
花蓮代天府,花蓮市,1,1,0,1,鋼筋混擬土,2,N/A,6,1
大坡村民宅,台東,1,1,0,,鋼筋混擬土,1,N/A,6,1
宜蘭孔子廟 ,宜蘭縣,0,1,0,0,鋼筋混凝土,2,N/A,,0
東華大學圖書館,花蓮市,1,1,0,0,鋼筋混凝土,5,N/A,,0
萬安國小,台東縣,1,1,0,1,鋼筋混擬土,2,N/A,,0
大潤發,台東縣,1,1,0,0,鋼筋混擬土,N/A,N/A,,0
臺東美術館,台東縣,1,1,0,0,鋼筋混擬土,2,N/A,,0
台東馬偕紀念醫院,台東縣,1,1,0,0,鋼筋混擬土,10,N/A,,0
蘭城晶英酒店,宜蘭縣,0,0,0,0,鋼筋混擬土,11,N/A,,0
蘭陽博物館,宜蘭縣 ,0,1,1,0,N/A,2,N/A,,0
7-ELEVEN 家燕門市,宜蘭縣 ,0,1,0,0,鋼筋混擬土,1,N/A,,0
全聯福利中心 礁溪公園店,宜蘭縣 ,0,1,0,0,鋼筋混擬土,2,N/A,,0
礁溪老爺酒店,宜蘭縣 ,0,1,0,0,鋼筋混擬土,7,N/A,,0
東澳朝安宮天上聖母,宜蘭縣 ,0,0,0,0,鋼筋混擬土,1,N/A,,0
宜蘭縣南澳鄉武塔國民小學,宜蘭縣 ,0,0,0,0,鋼筋混擬土,1,N/A,,0
7-ELEVEN 尚武門市,台東縣,0,0,0,0,N/A,2,N/A,,0
臺東縣立賓茂國民中學,台東縣,0,0,0,0,N/A,N/A,N/A,,0
臺東縣太麻里鄉香蘭國民小學,台東縣,0,0,0,0,N/A,2,N/A,,0
國立臺東大學圖書資訊館,台東縣,1,1,0,0,鋼筋混擬土,5,N/A,,0
關山天后宮,台東縣,1,1,0,0,鋼筋混擬土,1,N/A,,0
花蓮縣富里鄉農會東竹分部,花蓮縣,1,1,0,0,鋼筋混擬土,1,N/A,,0
花蓮縣卓溪鄉卓溪國民小學,花蓮縣,1,1,0,0,N/A,2,N/A,,0
台灣中油 玉里站,花蓮縣,1,1,0,0,N/A,1,N/A,,0
菁華林苑,花蓮縣,1,1,0,0,木材,1,N/A,,0
客家庄移民村警察廳,花蓮縣,1,1,0,0,N/A,1,N/A,,0
大華村古厝 益壽堂,花蓮縣,1,1,0,0,洗石,2,N/A,,0
東海龍門天聖宮,台東縣,1,1,0,0,N/A,3,N/A,,0
趣臺東,台東縣,1,1,0,0,木材,1,N/A,,0
國立傳統藝術中心傳藝文化園區 ,宜蘭縣,0,1,0,0,紅磚,2,N/A,,0
金車宜蘭頭城生態造林園區,宜蘭縣,0,0,0,0,N/A,2,N/A,,0
昭應宮,宜蘭縣,0,0,0,0,木材,1,N/A,,0
盧纘祥公館,宜蘭縣,0,1,0,0,洗石,1,N/A,,0
松園別館,花蓮縣,1,1,0,0,混泥土,2,N/A,,0
台中大里大里王朝大樓,台中市,1,1,0,0,沙拉油桶、報紙、磚塊、水泥紙袋混充鋼筋,12,ㄈ,6,1
霧峰林家花園,台中市,1,0,0,0,檜木,1,N/A,6,1
霧峰光復國中,台中市,1,0,0,0,N/A,3,N/A,6,1
大村鄉黃厝村,彰化,1,0,0,1,紅磚,1,N/A,5,1
埔鹽鄉埔港路,彰化,1,1,0,1,紅磚,1,N/A,5,1
員林市龍邦大鎮大樓,彰化,1,1,0,1,鋼筋混凝土,16,U,5,1
東榮路北辰街口,南投,0,1,0,0,N/A,N/A,N/A,7,1
草屯鎮登瀛書院,南投,1,1,0,0,紅磚,1,N/A,7,1
霧峰林家宅園,臺中市,1,0,0,0,N/A,N/A,N/A,7,1
光復國民中小學,臺中市,1,0,0,0,鋼筋混凝土,2,N/A,7,1
東勢工業高級中等學校,臺中市,1,0,0,0,鋼筋混凝土,N/A,N/A,6,1
社口林宅,臺中市,1,1,0,0,紅磚,1,N/A,6,1
台中客運總站,臺中市,1,1,0,0,N/A,1,N/A,7,1
台灣電影文化城,台中,1,0,0,0,紅磚,NA,N/A,7,1
埔里酒廠,南投,0,1,0,0,N/A,1,N/A,7,1
